id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
239,Lin's Yummy Taco,179,0,202.09194551449468,2,3.9,0,10,66
240,Lin's Yummy Taco,179,0,202.09194551449468,2,3.9,0,10,66
241,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,58
242,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,58
243,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,40
244,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,40
245,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,60,34
246,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,120,34
247,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,45
248,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,45
249,Panera Bread,776,0,256.071826001963,2,4.0,0,15,35
250,Panera Bread,776,0,256.071826001963,2,4.0,0,45,35
251,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,77
252,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,77
253,Luciano's,368,0,81.0013247112889,2,4.1,0,15,27
254,Luciano's,368,0,81.0013247112889,2,4.1,0,15,27
255,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,58
256,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,58
257,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,58
258,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,58
259,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,77
260,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,77
261,Burger King,1122,0,284.9861290588254,1,3.6,0,10,58
262,Burger King,1122,0,284.9861290588254,1,3.6,0,45,58
263,Amarachi,782,0,477.9351868201139,2,4.1,0,15,19
264,Amarachi,782,0,477.9351868201139,2,4.1,0,15,19
265,Cafe Metro,142,0,75.96447272494879,2,3.6,0,15,66
266,Cafe Metro,142,0,75.96447272494879,2,3.6,0,15,66
267,Tio Pio,189,0,201.0432998538932,1,3.8,0,15,67
268,Tio Pio,189,0,201.0432998538932,1,3.8,0,15,67
269,McDonald's,1017,0,339.6213207693014,1,3.4,0,25,58
270,McDonald's,1017,0,339.6213207693014,1,3.4,0,25,58
271,Brooklyn Brewhouse,387,0,315.0948960677183,2,3.9,0,15,15
272,Brooklyn Brewhouse,387,0,315.0948960677183,2,3.9,0,15,15
273,Five Guys,779,0,27.29211227215678,2,4.2,0,30,58
274,Five Guys,779,0,27.29211227215678,2,4.2,0,30,58
275,Eight Turn Crepe,93,0,376.36388245849275,2,4.6,0,15,58
276,Eight Turn Crepe,93,0,376.36388245849275,2,4.6,0,15,58
277,Chipotle Mexican Grill,459,0,48.21440082635119,1,3.9,0,10,58
278,Chipotle Mexican Grill,459,0,48.21440082635119,1,3.9,0,45,58
279,Hale and Hearty,99,0,51.60940510271232,2,4.1,0,15,47
280,Hale and Hearty,99,0,51.60940510271232,2,4.1,0,45,47
281,Dunkin',497,0,229.7883053084827,1,3.5,0,10,55
282,Dunkin',497,0,229.7883053084827,1,3.5,0,10,55
283,Buffalo Boss,513,0,230.141170803517,2,3.8,0,20,58
284,Buffalo Boss,513,0,230.141170803517,2,3.8,0,20,58
285,Yaso Tangbao,614,0,234.0619968319014,1,4.0,0,15,46
286,Yaso Tangbao,614,0,234.0619968319014,1,4.0,0,15,46
287,Rocco's Tacos And Tequila Bar,2586,0,236.08841240594822,2,4.1,0,60,27
288,Rocco's Tacos And Tequila Bar,2586,0,236.08841240594822,2,4.1,0,120,27
289,Doner Kebab NYC,404,0,237.68515421777906,2,4.2,0,20,58
290,Doner Kebab NYC,404,0,237.68515421777906,2,4.2,0,20,58
291,Forno Rosso,586,0,240.33811415162123,2,4.3,0,60,17
292,Forno Rosso,586,0,240.33811415162123,2,4.3,0,90,17
293,Hibachi King Express,79,0,243.84797858284244,2,3.6,0,15,58
294,Hibachi King Express,79,0,243.84797858284244,2,3.6,0,15,58
295,The Juice Shop,88,0,257.20996428422774,2,4.0,0,15,58
296,The Juice Shop,88,0,257.20996428422774,2,4.0,0,15,58
297,Kimoto Rooftop Restaurant & Garden Lounge,978,0,276.6994475100013,2,3.9,0,90,0
298,Kimoto Rooftop Restaurant & Garden Lounge,978,0,276.6994475100013,2,3.9,0,210,0
299,Panda Express,348,0,280.2310502528483,1,3.9,0,10,58
300,Panda Express,348,0,280.2310502528483,1,3.9,0,45,58
301,Avere,68,0,292.5563619552334,2,4.3,0,15,71
302,Avere,68,0,292.5563619552334,2,4.3,0,15,71
303,Smith Food Express,22,0,369.43033810843167,2,3.9,0,15,58
304,Smith Food Express,22,0,369.43033810843167,2,3.9,0,15,58
305,Brooklyn Bridge Bistro,395,0,358.48932250291455,2,4.1,0,30,61
306,Brooklyn Bridge Bistro,395,0,358.48932250291455,2,4.1,0,60,61
307,Alamo Drafthouse Cinema Downtown Brooklyn,4499,0,376.36388245849275,2,4.6,0,15,58
308,Alamo Drafthouse Cinema Downtown Brooklyn,4499,0,376.36388245849275,2,4.6,0,15,58
309,Foragers Counter,5,0,376.36388245849275,2,3.8,0,15,58
310,Foragers Counter,5,0,376.36388245849275,2,3.8,0,15,58
311,A Taste of Katz's,120,0,380.26827204693546,2,3.7,0,15,58
312,A Taste of Katz's,120,0,380.26827204693546,2,3.7,0,15,58
313,Wiki Wiki,22,0,388.2476597515637,2,3.9,0,15,58
314,Wiki Wiki,22,0,388.2476597515637,2,3.9,0,15,58
315,New Apollo Diner,1085,0,395.2782693322628,2,4.1,0,10,10
316,New Apollo Diner,1085,0,395.2782693322628,2,4.1,0,60,10
317,Kotti Berliner Döner Kebab,87,0,400.1811812969824,2,4.1,0,15,58
318,Kotti Berliner Döner Kebab,87,0,400.1811812969824,2,4.1,0,15,58
